country,year,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,upperwhisker,lowerwhisker,Dystopia + residual,continent
Georgia,2022,4.973,1.467,0.612,0.595,0.508,0.000,0.208,5.079,4.867,1.892,Asia
Gabon,2022,4.958,1.459,0.738,0.396,0.343,0.032,0.099,5.091,4.826,1.894,Africa
Iraq,2022,4.941,1.289,0.682,0.554,0.328,0.147,0.046,5.099,4.783,2.790,Asia
Venezuela,2022,4.925,0.000,0.968,0.578,0.283,0.225,0.082,5.051,4.800,2.538,South America
Guinea,2022,4.891,0.848,0.566,0.275,0.334,0.214,0.116,5.028,4.753,1.427,Africa
Iran,2022,4.888,1.410,0.741,0.642,0.281,0.241,0.146,4.995,4.780,1.972,Asia
Ghana,2022,4.872,1.112,0.595,0.409,0.500,0.230,0.056,4.999,4.745,1.059,Africa
Turkey,2022,4.744,1.707,0.865,0.702,0.209,0.087,0.115,4.845,4.644,2.313,Asia
Burkina Faso,2022,4.670,0.779,0.565,0.320,0.382,0.186,0.126,4.814,4.527,1.410,Africa
Cambodia,2022,4.640,1.019,0.732,0.505,0.740,0.166,0.068,4.765,4.516,2.458,Asia
Benin,2022,4.623,0.932,0.064,0.335,0.479,0.127,0.230,4.754,4.492,2.304,Africa
Comoros,2022,4.609,0.899,0.476,0.424,0.185,0.195,0.125,4.849,4.368,1.842,Africa
Uganda,2022,4.603,0.777,0.875,0.418,0.402,0.222,0.066,4.747,4.459,1.784,Africa
Nigeria,2022,4.552,1.079,0.732,0.300,0.444,0.175,0.038,4.651,4.453,1.661,Africa
Kenya,2022,4.543,1.032,0.605,0.401,0.440,0.322,0.082,4.683,4.403,1.540,Africa
Tunisia,2022,4.516,1.350,0.596,0.656,0.316,0.029,0.029,4.629,4.403,1.940,Africa
Pakistan,2022,4.516,1.049,0.413,0.374,0.448,0.181,0.112,4.634,4.397,1.368,Asia
Palestinian Territories,2022,4.483,1.148,0.957,0.521,0.336,0.073,0.079,4.665,4.300,2.373,Asia
Mali,2022,4.479,0.792,0.483,0.311,0.350,0.128,0.042,4.611,4.347,1.414,Africa
Namibia,2022,4.459,1.292,0.877,0.354,0.384,0.067,0.071,4.593,4.326,1.688,Africa
"Eswatini, Kingdom of",2022,4.396,1.274,0.786,0.197,0.259,0.038,0.154,4.607,4.185,0.877,Africa
Myanmar,2022,4.394,1.038,0.829,0.491,0.513,0.452,0.194,4.511,4.277,0.595,Asia
Sri Lanka,2022,4.362,1.415,0.934,0.660,0.529,0.150,0.079,4.487,4.237,2.148,Asia
Madagascar,2022,4.339,0.670,0.645,0.378,0.202,0.143,0.154,4.530,4.148,0.856,Africa
